id,type,title,country,year,rating,genre
s557,Movie,The 8th Night,South Korea,2021,TV-14,"Horror Movies, International Movies, Thrillers"
s558,Movie,Winchester,"Australia, United States",2018,PG-13,"Horror Movies, Sci-Fi & Fantasy"
s559,Movie,6 Bullets,United States,2012,R,Action & Adventure
s560,Movie,Air Force One,"United States, Germany",1997,R,Action & Adventure
s562,Movie,Austin Powers in Goldmember,United States,2002,PG-13,"Action & Adventure, Comedies"
s563,Movie,Austin Powers: International Man of Mystery,United States,1997,PG-13,Comedies
s564,Movie,Austin Powers: The Spy Who Shagged Me,United States,1999,PG-13,"Action & Adventure, Comedies, Sci-Fi & Fantasy"
s565,Movie,Boogie Nights,United States,1997,R,"Comedies, Dramas, Independent Movies"
s567,Movie,Charlie's Angels,"United States, Germany",2000,PG-13,"Action & Adventure, Comedies"
s568,Movie,Congo,United States,1995,PG-13,"Action & Adventure, Thrillers"
s569,Movie,Dennis the Menace,United States,1993,PG,"Children & Family Movies, Comedies"
s570,Movie,Dreamy Eyes,Vietnam,2019,TV-14,"Dramas, International Movies, Romantic Movies"
s573,Movie,Hampstead,"United Kingdom, Belgium",2019,PG-13,"Comedies, Dramas, International Movies"
s574,Movie,Kung Fu Panda,"United States, China",2008,PG,"Children & Family Movies, Comedies"
s575,Movie,Kung Fu Panda 2,"United States, China",2011,PG,"Children & Family Movies, Comedies"
s576,Movie,Life as We Know It,United States,2010,PG-13,"Comedies, Dramas, Romantic Movies"
s577,Movie,Mary Magdalene,"United Kingdom, Australia, United States",2019,R,"Dramas, Faith & Spirituality, International Movies"
s579,Movie,Memoirs of a Geisha,"France, Japan, United States",2005,PG-13,"Dramas, Romantic Movies"
s580,Movie,Midnight Run,United States,1988,R,"Action & Adventure, Classic Movies, Comedies"
s582,Movie,Mortal Kombat,United States,1995,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
s583,Movie,Mother's Day,United States,2016,PG-13,"Comedies, Dramas"
s584,Movie,No Strings Attached,"United States, United Kingdom",2011,R,"Comedies, Romantic Movies"
s585,Movie,Not Another Teen Movie,United States,2001,R,Comedies
s586,Movie,Ophelia,"United Kingdom, United States",2018,PG-13,"Dramas, Romantic Movies"
s590,Movie,Red Joan,United Kingdom,2019,R,"Dramas, International Movies"
s592,Movie,Seven Pounds,United States,2008,PG-13,"Dramas, Romantic Movies"
s593,Movie,She's Out of My League,United States,2010,R,"Comedies, Romantic Movies"
s594,Movie,Snow Day,United States,2000,PG,"Children & Family Movies, Comedies"
s595,Movie,Star Trek,"United States, Germany",2009,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
s596,Movie,Stuart Little,"Germany, United States",1999,PG,"Children & Family Movies, Comedies"
s597,Movie,Sword of Trust,United States,2019,R,"Comedies, Dramas, Independent Movies"
s598,Movie,Talladega Nights: The Ballad of Ricky Bobby,United States,2006,PG-13,"Action & Adventure, Comedies, Sports Movies"
s599,Movie,The American,"United States, United Kingdom",2010,R,"Dramas, Thrillers"
s600,Movie,The Best of Enemies,United States,2019,PG-13,Dramas
s601,Movie,The Game,United States,1997,R,Thrillers
s602,Movie,The Karate Kid,United States,1984,PG,"Action & Adventure, Children & Family Movies, Classic Movies"
s603,Movie,The Karate Kid Part II,United States,1986,PG,"Action & Adventure, Children & Family Movies, Dramas"
s604,Movie,The Karate Kid Part III,United States,1989,PG,"Children & Family Movies, Dramas"
s605,Movie,The Life of David Gale,"United Kingdom, Germany, Spain, United States",2003,R,Dramas
s606,Movie,The Long Riders,United States,1980,R,Action & Adventure
s607,Movie,The Queen,"United Kingdom, United States, France, Italy",2006,PG-13,"Dramas, International Movies"
s608,Movie,The Strangers,United States,2008,R,"Horror Movies, Thrillers"
s609,Movie,The Sum of All Fears,"United States, Germany, Canada",2002,PG-13,Action & Adventure
s610,Movie,The Tourist,"United States, France, Italy, United Kingdom",2010,PG-13,"Action & Adventure, Romantic Movies"
s611,Movie,Underworld,"United States, United Kingdom, Germany, Hungary",2003,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s612,Movie,Underworld: Awakening,"United States, Canada",2012,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s613,Movie,Underworld: Rise of the Lycans,"United States, New Zealand",2009,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s614,Movie,Voiceless,Nigeria,2020,TV-MA,"Dramas, International Movies, Thrillers"
s615,Movie,What Dreams May Come,"United States, New Zealand",1998,PG-13,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
s616,Movie,Why Do Fools Fall in Love,United States,1998,R,"Dramas, Music & Musicals, Romantic Movies"
s619,Movie,America: The Motion Picture,United States,2021,TV-MA,"Action & Adventure, Comedies"
s623,Movie,Lying and Stealing,United States,2019,R,Thrillers
s631,Movie,Killing Them Softly,United States,2012,R,Dramas
s635,Movie,Wonder Boy,France,2019,TV-14,"Documentaries, International Movies"
s636,Movie,Here Comes the Rain,Lebanon,2010,TV-MA,"Dramas, International Movies"
s637,Movie,The Ice Road,"United States, Canada",2021,PG-13,Action & Adventure
s644,Movie,The Seventh Day,United States,2021,R,Horror Movies
s651,Movie,O Vendedor de Sonhos,Brazil,2016,TV-14,"Dramas, International Movies"
s652,Movie,Osuofia in London,Nigeria,2003,TV-MA,"Comedies, Dramas, International Movies"
s655,Movie,#Selfie,Romania,2014,TV-MA,"Comedies, Dramas, International Movies"
s656,Movie,#Selfie 69,Romania,2016,TV-MA,"Comedies, Dramas, International Movies"
s657,Movie,Love Is a Story,Romania,2015,TV-MA,"International Movies, Music & Musicals, Romantic Movies"
s677,TV Show,Riverdale,United States,2019,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries"
s682,TV Show,They've Gotta Have Us,United Kingdom,2018,TV-MA,"British TV Shows, Docuseries"
s686,Movie,Fatherhood,United States,2021,PG-13,Dramas
s689,Movie,Kambili: The Whole 30 Yards,Nigeria,2020,TV-14,"Comedies, International Movies, Romantic Movies"
s695,Movie,Aziza,"Lebanon, Syria",2019,TV-PG,"Comedies, Dramas, Independent Movies"
s699,Movie,Fan Girl,Philippines,2020,TV-MA,"Dramas, Independent Movies, International Movies"
s702,Movie,Red Snow,Canada,2019,TV-MA,Dramas
s703,Movie,Silver Linings Playbook,United States,2012,R,"Comedies, Dramas, Independent Movies"
s706,Movie,Biking Borders,Germany,2019,TV-14,"Documentaries, International Movies, Sports Movies"
s709,Movie,Lowriders,United States,2016,PG-13,"Dramas, Independent Movies"
s712,Movie,Security,Italy,2021,TV-MA,"Dramas, International Movies, Thrillers"
s717,Movie,FTA,United States,1972,TV-MA,Documentaries
s719,Movie,Life of Crime,United States,2013,R,"Comedies, Independent Movies"
s722,Movie,Rogue Warfare: Death of a Nation,United States,2020,R,Action & Adventure
s723,Movie,Sir! No Sir!,United States,2005,TV-MA,Documentaries
s724,TV Show,The American Bible Challenge,United States,2014,TV-G,Reality TV
